Date,Open,High,Low,Close,Volume,Change
2018-02-26,468500,469000,458000,468000,111109,0.015184381778741818
2018-02-27,468000,474500,463500,466500,119419,-0.0032051282051281937
2018-02-28,462000,472500,458000,459000,148290,-0.01607717041800638
2018-03-02,452500,475000,452500,474500,149968,0.03376906318082784
2018-03-05,474500,475000,447500,452000,164203,-0.04741833508956794
2018-03-06,451000,458500,441500,446500,183866,-0.012168141592920345
2018-03-07,447000,453500,442500,445000,108495,-0.0033594624860022737
2018-03-08,445000,446000,417000,434000,334703,-0.024719101123595544
2018-03-09,439000,442000,427500,429500,178824,-0.010368663594470084
2018-03-12,434000,435000,424000,428500,139265,-0.002328288707799775
2018-03-13,426500,437000,426000,436500,143337,0.018669778296382722
2018-03-14,430500,449500,428000,442500,134964,0.013745704467353903
2018-03-15,444500,444500,436500,440000,72592,-0.005649717514124242
2018-03-16,437000,437000,423000,425500,177105,-0.03295454545454546
2018-03-19,425500,429500,420500,425500,85959,0.0
2018-03-20,427500,441500,427500,436000,117616,0.024676850763807323
2018-03-21,436000,438000,431000,435500,74662,-0.0011467889908256534
2018-03-22,438500,445000,434000,439500,66173,0.009184845005740572
2018-03-23,428000,437500,427500,430000,80087,-0.021615472127417545
2018-03-26,423000,440500,423000,440500,93789,0.024418604651162745
2018-03-27,448000,454000,444000,446500,98037,0.013620885357548351
2018-03-28,444000,444000,428000,435500,106299,-0.024636058230683044
2018-03-29,435500,443500,429000,433000,88636,-0.00574052812858783
2018-03-30,438000,438500,429500,433000,52200,0.0
2018-04-02,430000,440000,428000,429500,66567,-0.008083140877598205
2018-04-03,428000,435500,426000,434000,59553,0.010477299185098987
2018-04-04,431500,438500,431500,434000,74381,0.0
2018-04-05,439000,456000,438500,447000,128078,0.02995391705069128
2018-04-06,447000,448000,437500,442500,71582,-0.010067114093959773
2018-04-09,437000,441000,432000,438500,75713,-0.009039548022598876
2018-04-10,438000,439500,426000,430000,121276,-0.019384264538198415
2018-04-11,430000,432000,421000,426000,107967,-0.009302325581395321
2018-04-12,426500,433000,426500,428000,95995,0.0046948356807512415
2018-04-13,428000,437000,424000,424000,123537,-0.009345794392523366
2018-04-16,423000,427000,401500,408000,199615,-0.037735849056603765
2018-04-17,409000,416500,408500,410500,90157,0.006127450980392135
2018-04-18,415000,419500,410000,413000,97031,0.006090133982947554
2018-04-19,411000,411500,401500,401500,140792,-0.02784503631961255
2018-04-20,404000,409500,403500,409000,76200,0.018679950186799577
2018-04-23,405500,407500,401500,402000,81632,-0.017114914425427896
2018-04-24,405500,408500,401500,406500,63324,0.011194029850746245
2018-04-25,407000,408000,395000,403000,98599,-0.008610086100861003
2018-04-26,402500,413500,400000,411000,84234,0.01985111662531014
2018-04-27,411500,416500,402500,404500,73068,-0.015815085158150888
2018-04-30,403000,415000,403000,414000,56218,0.023485784919653918
2018-05-02,415000,416500,397000,400000,121493,-0.033816425120772986
2018-05-03,397000,417500,393000,406000,135438,0.014999999999999902
2018-05-04,402500,404000,385000,385000,163487,-0.051724137931034475
2018-05-08,385500,388500,373500,386000,151670,0.0025974025974024872
2018-05-09,386500,391000,381500,389000,85771,0.007772020725388629
2018-05-10,389000,391500,380500,383000,116434,-0.015424164524421635
2018-05-11,384000,393000,382500,387000,84894,0.010443864229765065
2018-05-14,390000,398500,389000,394500,95075,0.019379844961240345
2018-05-15,390000,392500,378000,379500,133781,-0.03802281368821292
2018-05-16,379500,390000,379000,379500,92505,0.0
2018-05-17,382000,386000,375500,377500,86457,-0.005270092226614009
2018-05-18,379500,390000,379500,384000,124238,0.017218543046357615
2018-05-21,391000,394500,384000,391500,152353,0.01953125
2018-05-23,390000,390000,376000,377500,168349,-0.03575989782886335
2018-05-24,377500,380500,365500,368000,141353,-0.025165562913907258
2018-05-25,371500,374000,364500,367000,113274,-0.0027173913043477826
2018-05-28,368000,384000,368000,380000,162542,0.03542234332425065
2018-05-29,382000,382000,373000,373000,82727,-0.018421052631578894
2018-05-30,371000,376500,361500,363000,107516,-0.02680965147453085
2018-05-31,371500,376000,363000,368500,251808,0.015151515151515138
2018-06-01,366500,370500,362000,363000,91435,-0.014925373134328401
2018-06-04,368500,378000,363500,376500,133516,0.037190082644628086
2018-06-05,379500,383500,370500,372500,92855,-0.010624169986719778
2018-06-07,378000,381500,370500,372000,114818,-0.0013422818791946067
2018-06-08,372000,384000,370000,381000,151653,0.024193548387096753
2018-06-11,382000,383000,375500,381000,74839,0.0
2018-06-12,380000,382500,377000,380500,68967,-0.001312335958005284
2018-06-14,380000,380500,363000,363000,240480,-0.04599211563731931
2018-06-15,363500,367000,361000,365500,128297,0.00688705234159781
2018-06-18,365500,374500,365000,369500,118122,0.010943912448700521
2018-06-19,368000,369500,350000,354000,197082,-0.041948579161028454
2018-06-20,354000,359000,348000,353000,150683,-0.0028248587570621764
2018-06-21,351000,355500,342500,345500,127942,-0.021246458923512734
2018-06-22,340500,349000,335500,348000,108203,0.00723589001447178
2018-06-25,349000,352000,348000,350500,84034,0.007183908045977017
2018-06-26,349000,353500,346000,352000,86815,0.004279600570613384
2018-06-27,348000,349000,331500,338500,266875,-0.03835227272727271
2018-06-28,340000,347000,336500,337500,104997,-0.002954209748892156
2018-06-29,340500,348000,329000,348000,164880,0.03111111111111109
2018-07-02,346500,347500,328500,330000,139554,-0.051724137931034475
2018-07-03,330500,336000,321500,328000,141959,-0.0060606060606061
2018-07-04,325000,331000,322500,324000,75743,-0.012195121951219523
2018-07-05,325000,330000,322500,329000,62738,0.015432098765432167
2018-07-06,327000,333500,319000,330000,168927,0.003039513677811634
2018-07-09,332000,342000,330500,340000,101730,0.030303030303030276
2018-07-10,337000,345500,337000,341500,96868,0.004411764705882337
2018-07-11,336000,346000,334500,335000,78027,-0.019033674963396807
2018-07-12,338500,348000,338000,346500,149499,0.0343283582089553
2018-07-13,346000,351000,342500,344000,61296,-0.00721500721500723
2018-07-16,343000,350000,340000,344500,68678,0.0014534883720929148
2018-07-17,348000,349000,330000,332500,122585,-0.03483309143686497
2018-07-18,336000,345500,336000,338500,82443,0.018045112781954975
2018-07-19,340000,350000,337500,338000,83184,-0.001477104874446078
2018-07-20,338000,341500,333000,336000,62161,-0.00591715976331364
2018-07-23,340000,340500,331500,332000,72174,-0.011904761904761862
2018-07-24,336500,338000,329500,338000,54832,0.01807228915662651
2018-07-25,337500,351000,332000,335000,113745,-0.00887573964497046
2018-07-26,341500,354000,338000,353500,137756,0.055223880597014885
2018-07-27,355000,355000,350000,352500,68660,-0.0028288543140028155
2018-07-30,350000,354500,346000,354000,74641,0.004255319148936065
2018-07-31,355500,362000,351500,359500,118695,0.015536723163841915
2018-08-01,359500,360000,337000,338500,240735,-0.05841446453407506
2018-08-02,338000,338500,328500,330000,148059,-0.025110782865583436
2018-08-03,330000,333000,325500,331000,114616,0.003030303030302939
2018-08-06,329500,337500,327500,334500,157183,0.010574018126888296
2018-08-07,338000,350500,335000,347500,250807,0.038863976083707064
2018-08-08,347000,358500,347000,352500,171292,0.014388489208633004
2018-08-09,350000,358000,343000,343000,167705,-0.026950354609929117
2018-08-10,344500,354500,343500,344500,138057,0.004373177842565523
2018-08-13,344500,354000,343000,347000,110102,0.007256894049346929
2018-08-14,347500,349500,336000,340000,116041,-0.02017291066282423
2018-08-16,336000,343500,329500,340000,118754,0.0
2018-08-17,340500,343000,336000,336000,88293,-0.0117647058823529
2018-08-20,340000,342000,336500,338000,75334,0.005952380952380931
2018-08-21,336500,337000,329000,331500,153070,-0.019230769230769273
2018-08-22,332000,332500,312500,315000,413988,-0.04977375565610864
